,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
1,Acute Poliomyelitis,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
2,Amoebic Dysentery,,1997,1,1997-01-01,2,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
3,Bacillary Dysentery,,1997,1,1997-01-01,27,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
4,Cholera,,1997,1,1997-01-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
5,Dengue Fever,,1997,1,1997-01-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
6,Diphtheria,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
7,Food Poisoning - Outbreaks,,1997,1,1997-01-01,19,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
8,Legionnaires' Disease,,1997,1,1997-01-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
9,Leprosy,,1997,1,1997-01-01,2,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
10,Malaria,,1997,1,1997-01-01,3,101,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
11,Measles,,1997,1,1997-01-01,11,316,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
12,Meningococcal Infections,,1997,1,1997-01-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
13,Mumps,,1997,1,1997-01-01,3,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
14,Paratyphoid Fever,,1997,1,1997-01-01,0,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
15,Plague,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
16,Rabies(Human),,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
17,Relapsing Fever,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
18,Rubella,,1997,1,1997-01-01,155,4958,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
19,Scarlet Fever,,1997,1,1997-01-01,9,77,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
20,Tetanus,,1997,1,1997-01-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
21,Tuberculosis,,1997,1,1997-01-01,454,7072,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
22,Typhoid Fever,,1997,1,1997-01-01,6,71,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
23,Typhus Fever,,1997,1,1997-01-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
24,Viral Hepatitis - A,,1997,1,1997-01-01,51,595,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
25,Viral Hepatitis - B,,1997,1,1997-01-01,16,100,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
26,Viral Hepatitis - C,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
27,Viral Hepatitis - E,,1997,1,1997-01-01,1,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
28,Viral Hepatitis - Unclassified,,1997,1,1997-01-01,1,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
29,Whooping Cough,,1997,1,1997-01-01,0,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
30,Yellow Fever,,1997,1,1997-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
31,Acute Poliomyelitis,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
32,Amoebic Dysentery,,1997,2,1997-02-01,0,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
33,Bacillary Dysentery,,1997,2,1997-02-01,32,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
34,Cholera,,1997,2,1997-02-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
35,Dengue Fever,,1997,2,1997-02-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
36,Diphtheria,,1997,2,1997-02-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
37,Food Poisoning - Outbreaks,,1997,2,1997-02-01,32,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
38,Legionnaires' Disease,,1997,2,1997-02-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
39,Leprosy,,1997,2,1997-02-01,0,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
