Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-04-01,2025/04/01,2025 April,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D002,Cholera,霍乱
2025-04-01,2025/04/01,2025 April,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D002,Cholera,霍乱
2025-04-01,2025/04/01,2025 April,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D005,HIV/AIDS,艾滋病
2025-04-01,2025/04/01,2025 April,Viral Hepatitis,病毒性肝炎,,212.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2025-04-01,2025/04/01,2025 April,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D007,Hepatitis A,甲型肝炎
2025-04-01,2025/04/01,2025 April,Hepatitis B,乙型肝炎,,34.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D008,Hepatitis B,乙型肝炎
2025-04-01,2025/04/01,2025 April,Hepatitis C,丙型肝炎,,176.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D009,Hepatitis C,丙型肝炎
2025-04-01,2025/04/01,2025 April,Hepatitis D,丁型肝炎,16.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D010,Hepatitis D,丁型肝炎
2025-04-01,2025/04/01,2025 April,Hepatitis E,戊型肝炎,,2.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D011,Hepatitis E,戊型肝炎
2025-04-01,2025/04/01,2025 April,Poliomyelitis,脊髓灰质炎,623.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-04-01,2025/04/01,2025 April,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-04-01,2025/04/01,2025 April,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D014,H5N1,人感染高致病性禽流感
2025-04-01,2025/04/01,2025 April,Measles,麻疹,234.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D017,Measles,麻疹
2025-04-01,2025/04/01,2025 April,Hemorrhagic Fever,流行性出血热,244.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2025-04-01,2025/04/01,2025 April,Rabies,狂犬病,13.0,11.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D019,Rabies,狂犬病
2025-04-01,2025/04/01,2025 April,Japanese Encephalitis,流行性乙型脑炎,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2025-04-01,2025/04/01,2025 April,Dengue,登革热,74.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D021,Dengue,登革热
2025-04-01,2025/04/01,2025 April,Anthrax,炭疽,18.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D023,Anthrax,炭疽
2025-04-01,2025/04/01,2025 April,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2025-04-01,2025/04/01,2025 April,Tuberculosis,肺结核,,252.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D025,Tuberculosis,肺结核
2025-04-01,2025/04/01,2025 April,Typhoid and Paratyphoid fever,伤寒和副伤寒,293.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2025-04-01,2025/04/01,2025 April,Meningococcal Meningitis,流行性脑脊髓膜炎,24.0,2.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2025-04-01,2025/04/01,2025 April,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D028,Pertussis,百日咳
2025-04-01,2025/04/01,2025 April,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D029,Diphtheria,白喉
2025-04-01,2025/04/01,2025 April,Neonatal Tetanus,新生儿破伤风,1.0,0.0,-10,-10,全国,China,100000,pmid:40620659; pmc:PMC12228098; doi:10.46234/ccdcw2025.144,https://pmc.ncbi.nlm.nih.gov/articles/PMC12228098/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
