Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2025-03-01,2025/03/01,2025 March,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D002,Cholera,霍乱
2025-03-01,2025/03/01,2025 March,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D002,Cholera,霍乱
2025-03-01,2025/03/01,2025 March,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D005,HIV/AIDS,艾滋病
2025-03-01,2025/03/01,2025 March,Viral Hepatitis,病毒性肝炎,,163.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D006,Viral Hepatitis,病毒性肝炎
2025-03-01,2025/03/01,2025 March,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D007,Hepatitis A,甲型肝炎
2025-03-01,2025/03/01,2025 March,Hepatitis B,乙型肝炎,,41.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D008,Hepatitis B,乙型肝炎
2025-03-01,2025/03/01,2025 March,Hepatitis C,丙型肝炎,,122.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D009,Hepatitis C,丙型肝炎
2025-03-01,2025/03/01,2025 March,Hepatitis D,丁型肝炎,18.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D010,Hepatitis D,丁型肝炎
2025-03-01,2025/03/01,2025 March,Hepatitis E,戊型肝炎,,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D011,Hepatitis E,戊型肝炎
2025-03-01,2025/03/01,2025 March,Poliomyelitis,脊髓灰质炎,745.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-03-01,2025/03/01,2025 March,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D013,Poliomyelitis,脊髓灰质炎
2025-03-01,2025/03/01,2025 March,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D014,H5N1,人感染高致病性禽流感
2025-03-01,2025/03/01,2025 March,Measles,麻疹,272.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D017,Measles,麻疹
2025-03-01,2025/03/01,2025 March,Hemorrhagic Fever,流行性出血热,229.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2025-03-01,2025/03/01,2025 March,Rabies,狂犬病,13.0,9.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D019,Rabies,狂犬病
2025-03-01,2025/03/01,2025 March,Japanese Encephalitis,流行性乙型脑炎,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2025-03-01,2025/03/01,2025 March,Dengue,登革热,38.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D021,Dengue,登革热
2025-03-01,2025/03/01,2025 March,Anthrax,炭疽,13.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D023,Anthrax,炭疽
2025-03-01,2025/03/01,2025 March,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2025-03-01,2025/03/01,2025 March,Tuberculosis,肺结核,,239.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D025,Tuberculosis,肺结核
2025-03-01,2025/03/01,2025 March,Typhoid and Paratyphoid fever,伤寒和副伤寒,270.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2025-03-01,2025/03/01,2025 March,Meningococcal Meningitis,流行性脑脊髓膜炎,17.0,1.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2025-03-01,2025/03/01,2025 March,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D028,Pertussis,百日咳
2025-03-01,2025/03/01,2025 March,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D029,Diphtheria,白喉
2025-03-01,2025/03/01,2025 March,Neonatal Tetanus,新生儿破伤风,3.0,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2025-03-01,2025/03/01,2025 March,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:40376180; pmc:PMC12075491; doi:10.46234/ccdcw2025.112,https://pmc.ncbi.nlm.nih.gov/articles/PMC12075491/,PubMed,D031,Scarlet fever,猩红热
