Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2026-01-01,2026/01/01,2026 January,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D002,Cholera,霍乱
2026-01-01,2026/01/01,2026 January,COVID-19,新型冠状病毒感染,,1.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D004,COVID-19,新型冠状病毒感染
2026-01-01,2026/01/01,2026 January,Cholera,霍乱,0.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D002,Cholera,霍乱
2026-01-01,2026/01/01,2026 January,HIV/AIDS,艾滋病,,,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D005,HIV/AIDS,艾滋病
2026-01-01,2026/01/01,2026 January,Viral Hepatitis,病毒性肝炎,,70.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D006,Viral Hepatitis,病毒性肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis A,甲型肝炎,,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D007,Hepatitis A,甲型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis B,乙型肝炎,,37.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D008,Hepatitis B,乙型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis C,丙型肝炎,,31.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D009,Hepatitis C,丙型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis D,丁型肝炎,25.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D010,Hepatitis D,丁型肝炎
2026-01-01,2026/01/01,2026 January,Hepatitis E,戊型肝炎,,2.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D011,Hepatitis E,戊型肝炎
