Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Cholera,0,0,0,0,13,0,0,0,0,1,0,0,14
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic Dysentery,2,0,2,1,1,0,2,0,0,3,0,1,12
Bacillary Dysentery,27,32,22,29,26,13,36,38,40,39,24,37,363
Dengue Fever,1,0,0,1,2,0,0,0,1,1,3,1,10
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning - Outbreaks,19,32,14,18,29,36,50,37,29,37,30,33,364
Food Poisoning - Persons affected,66,179,57,120,135,261,245,120,183,194,100,240,1900
Legionnaires' Disease,0,0,0,0,0,0,1,0,0,1,0,0,2
Leprosy,2,0,2,4,0,0,0,0,0,0,0,3,11
Malaria,3,4,1,7,13,18,18,10,14,6,4,3,101
Measles,11,20,39,38,59,44,54,39,8,0,4,0,316
Meningococcal Infections,0,0,1,1,1,0,0,2,0,0,0,0,5
Mumps,3,2,8,2,3,5,8,2,10,1,3,4,51
Paratyphoid Fever,0,0,6,3,0,0,4,0,2,3,0,0,18
Rabies(Human),0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,155,170,325,841,1227,1449,611,100,45,19,9,7,4958
Scarlet Fever,9,7,9,3,11,5,13,4,6,5,1,4,77
Tetanus,0,2,0,0,1,0,0,0,2,0,3,0,8
Tuberculosis,454,384,584,586,808,628,610,736,544,621,640,477,7072
Typhoid Fever,6,9,10,8,7,3,7,8,3,1,3,6,71
Typhus Fever,1,0,0,0,0,0,1,2,2,0,0,2,8
Viral Hepatitis - A,51,56,57,58,75,56,33,29,19,31,61,69,595
Viral Hepatitis - B,16,7,4,7,8,6,7,2,13,9,11,10,100
Viral Hepatitis - C,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis - E,1,0,0,0,0,0,0,0,0,0,2,1,4
Viral Hepatitis - Unclassified,1,2,6,3,2,3,5,5,2,2,2,4,37
Whooping Cough,0,2,1,2,3,0,0,0,0,2,1,1,12
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),762,729,1091,1612,2289,2266,1460,1014,740,782,801,663,14209
