Disease,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acute poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebic dysentery,0,1,1,0,1,0,1,1,1,2,2,2,12
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillary dysentery,3,4,3,2,0,1,1,2,4,1,3,1,25
Botulism,2,0,0,1,2,1,1,0,0,0,0,0,7
Chickenpox,160,141,143,163,150,109,110,107,123,150,166,130,1652
Chikungunya fever,0,0,0,0,0,0,0,13,10,29,23,7,82
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0
Community-associated methicillin-resistant Staphylococcus aureus infection,47,37,39,25,39,32,29,34,32,34,41,42,431
Coronavirus disease 2019 (COVID-19),21,24,31,156,361,159,85,45,23,21,1,3,930
Creutzfeldt-Jakob disease,0,1,1,1,0,2,2,0,1,1,1,0,10
Dengue fever,2,4,3,7,9,4,7,6,6,2,5,4,59
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterovirus 71 infection,0,0,0,0,0,0,0,0,2,0,0,0,2
Food poisoning - Outbreaks,17,16,7,10,6,10,8,10,20,12,6,7,129
Food poisoning - Persons affected,241,104,22,29,23,26,35,27,55,38,23,58,681
Haemophilus influenzae type b infection (invasive),0,0,0,0,0,0,0,1,0,0,0,0,1
Hantavirus infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Invasive pneumococcal disease,28,24,12,17,10,6,5,10,11,3,12,15,153
Japanese encephalitis,0,0,0,0,0,0,0,1,0,0,0,0,1
Legionnaires' disease,12,9,14,9,9,21,23,19,10,11,14,16,167
Leprosy,0,0,1,0,0,0,0,0,2,0,0,0,3
Leptospirosis,0,0,0,0,1,0,0,0,0,0,0,0,1
Listeriosis,2,0,1,1,2,1,3,2,1,3,1,1,18
Malaria,1,0,0,1,1,1,4,0,1,0,1,0,10
Measles,0,0,1,0,1,5,1,0,0,0,0,2,10
Melioidosis,2,1,0,1,3,0,1,0,5,5,2,1,21
Meningococcal infection (invasive),1,1,1,2,1,0,1,1,2,0,0,1,11
Middle East Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpox (Monkeypox),0,3,1,2,1,3,1,0,0,2,2,1,16
Mumps,2,3,1,5,6,2,5,2,3,5,1,3,38
Novel influenza A infection - Influenza A (H5),0,0,0,0,0,0,0,0,0,0,0,0,0
Novel influenza A infection - Influenza A (H7),0,0,0,0,0,0,0,0,0,0,0,0,0
Novel influenza A infection - Others,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratyphoid fever,0,1,1,0,0,0,0,1,0,0,1,0,4
Plague,0,0,0,0,0,0,0,0,0,0,0,0,0
Psittacosis,2,2,0,0,1,0,2,3,2,1,0,6,19
Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella and congenital rubella syndrome - Rubella,0,0,0,0,0,0,0,0,0,1,0,0,1
Rubella and congenital rubella syndrome - Congenital rubella syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet fever,310,178,187,141,143,156,95,31,44,49,78,81,1493
Severe Acute Respiratory Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiga toxin-producing Escherichia coli infection,1,0,0,0,1,0,0,0,0,0,1,2,5
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis infection,0,0,2,0,0,1,1,0,1,0,0,0,5
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,221,222,245,247,263,251,272,250,237,265,239,224,2936
Typhoid fever,1,0,1,0,1,2,0,1,1,0,1,2,10
Typhus and other rickettsial diseases - Scrub typhus,0,0,1,0,2,3,0,1,1,2,1,1,12
Typhus and other rickettsial diseases - Urban typhus,0,0,0,0,0,0,0,1,0,0,0,0,1
Typhus and other rickettsial diseases - Spotted fever,0,0,0,1,1,0,1,0,0,0,1,0,4
Typhus and other rickettsial diseases - Unclassified,0,0,0,0,0,0,1,0,0,0,0,0,1
Viral haemorrhagic fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - A,1,5,2,4,3,5,4,6,11,9,9,14,73
Viral hepatitis - B,0,0,1,2,1,2,1,1,0,1,1,4,14
Viral hepatitis - C,3,3,0,1,3,0,3,3,1,1,3,6,27
Viral hepatitis - D,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis - E,6,15,12,11,12,13,6,10,9,8,7,9,118
West Nile Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,0,1,1,0,2,0,0,0,1,1,1,0,7
Yellow fever,0,0,0,0,0,0,0,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (persons affected in Food poisoning outbreaks were excluded in the monthly total and grand total),845,696,713,810,1036,790,674,562,565,619,624,585,8519
