"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2023",,,,,,"Data collected as of March 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,55873,11.32,969,0.31,491,0.16,1470,0.47,19528,6.2,219,0.07,206,0.07,30,0.01,611,0.19,153,0.05,81,0.03,5,0.01,121,0.17,8,0.02,8,0.02,7,0.01,-,-,7,0.01
Hokkaido,2590,11.31,187,1.35,35,0.25,123,0.88,419,3.01,6,0.04,2,0.01,-,-,7,0.05,5,0.04,-,-,-,-,1,0.03,-,-,-,-,-,-,-,-,1,0.04
Aomori,970,15.16,-,-,5,0.12,13,0.31,311,7.4,4,0.1,-,-,-,-,10,0.24,1,0.02,3,0.07,-,-,1,0.1,-,-,-,-,1,0.17,-,-,-,-
Iwate,2565,41.37,43,1.08,1,0.03,46,1.15,225,5.63,1,0.03,-,-,-,-,17,0.43,-,-,-,-,-,-,2,0.14,-,-,-,-,-,-,-,-,-,-
Miyagi,416,4.38,33,0.57,5,0.09,12,0.21,412,7.1,8,0.14,-,-,1,0.02,13,0.22,-,-,1,0.02,-,-,2,0.17,1,0.08,-,-,1,0.08,-,-,-,-
Akita,810,15.88,1,0.03,3,0.09,14,0.42,157,4.76,4,0.12,-,-,2,0.06,4,0.12,1,0.03,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Yamagata,338,7.68,23,0.79,7,0.24,19,0.66,261,9,-,-,1,0.03,-,-,11,0.38,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,1,0.1
Fukushima,383,4.61,42,0.84,6,0.12,23,0.46,345,6.9,-,-,-,-,-,-,14,0.28,-,-,1,0.02,-,-,2,0.15,-,-,-,-,-,-,-,-,-,-
Ibaraki,920,7.67,4,0.05,9,0.12,42,0.56,329,4.39,5,0.07,-,-,-,-,4,0.05,-,-,1,0.01,-,-,6,0.35,-,-,-,-,1,0.08,-,-,-,-
Tochigi,760,10,-,-,1,0.02,24,0.5,291,6.06,3,0.06,-,-,-,-,15,0.31,-,-,2,0.04,-,-,2,0.17,1,0.14,-,-,-,-,-,-,-,-
Gunma,403,4.69,7,0.13,5,0.09,8,0.15,347,6.55,9,0.17,-,-,4,0.08,15,0.28,2,0.04,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saitama,2646,10.38,23,0.14,31,0.19,41,0.25,977,6.07,12,0.07,6,0.04,1,0.01,22,0.14,1,0.01,7,0.04,2,0.05,12,0.29,-,-,-,-,-,-,-,-,-,-
Chiba,1891,9.05,2,0.02,2,0.02,47,0.36,729,5.52,11,0.08,1,0.01,3,0.02,14,0.11,2,0.02,4,0.03,-,-,5,0.14,-,-,-,-,-,-,-,-,-,-
Tokyo,3499,8.53,20,0.08,32,0.12,105,0.41,1455,5.66,11,0.04,10,0.04,2,0.01,42,0.16,-,-,12,0.05,-,-,3,0.08,2,0.08,-,-,-,-,-,-,-,-
Kanagawa,4597,12.99,14,0.06,10,0.04,64,0.28,1124,4.97,37,0.16,1,0,1,0,31,0.14,3,0.01,5,0.02,-,-,18,0.36,1,0.08,-,-,-,-,-,-,-,-
