"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2023",,,,,,"Data collected as of November 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1395572,283.02,144280,45.95,104249,33.2,171284,54.55,644862,205.37,12984,4.14,89225,28.42,1927,0.61,36217,11.53,193277,61.55,6229,1.98,364,0.52,13402,19.31,353,0.74,602,1.26,804,1.68,22,0.05,132,0.28,1247999,253.09
Hokkaido,56339,251.51,9072,65.74,5523,40.02,9442,68.42,13362,96.83,657,4.76,1082,7.84,53,0.38,838,6.07,11007,79.76,190,1.38,5,0.17,194,6.69,5,0.22,5,0.22,41,1.78,1,0.04,7,0.3,56774,253.46
Aomori,14242,233.48,892,22.87,440,11.28,535,13.72,6276,160.92,98,2.51,604,15.49,15,0.38,375,9.62,2900,74.36,49,1.26,5,0.56,37,4.11,6,1,8,1.33,173,28.83,-,-,-,-,14230,233.28
Iwate,16041,258.73,1575,40.38,385,9.87,1915,49.1,8269,212.03,105,2.69,834,21.38,49,1.26,602,15.44,4400,112.82,58,1.49,-,-,160,12.31,12,0.63,9,0.47,36,1.89,1,0.05,16,0.84,19282,311
Miyagi,17741,194.96,3068,55.78,926,16.84,1467,26.67,10753,195.51,223,4.05,1844,33.53,37,0.67,698,12.69,6919,125.8,116,2.11,2,0.18,124,11.27,6,0.6,3,0.3,27,2.7,-,-,-,-,27398,301.08
Akita,9862,193.37,693,21,174,5.27,527,15.97,4001,121.24,140,4.24,602,18.24,13,0.39,228,6.91,1998,60.55,30,0.91,7,1.17,53,8.83,1,0.13,-,-,5,0.63,-,-,-,-,11980,234.9
Yamagata,9697,225.51,1905,68.04,603,21.54,1150,41.07,5422,193.64,111,3.96,727,25.96,15,0.54,489,17.46,3874,138.36,48,1.71,-,-,41,5.13,4,0.4,4,0.4,4,0.4,-,-,1,0.1,9098,211.58
Fukushima,19782,241.24,3494,71.31,1080,22.04,2200,44.9,7056,144,169,3.45,2139,43.65,48,0.98,873,17.82,3263,66.59,112,2.29,7,0.54,195,15,3,0.43,2,0.29,13,1.86,-,-,1,0.14,22029,268.65
Ibaraki,28303,235.86,1828,24.37,2241,29.88,4542,60.56,12069,160.92,290,3.87,3649,48.65,93,1.24,574,7.65,2848,37.97,129,1.72,13,0.76,785,46.18,5,0.42,6,0.5,49,4.08,-,-,1,0.08,36158,301.32
