"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2024",,,,,,"Data collected as of February 14, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,117652,23.93,438,0.14,3339,1.07,14419,4.61,21495,6.88,429,0.14,589,0.19,61,0.02,577,0.18,61,0.02,72,0.02,7,0.01,349,0.5,7,0.01,10,0.02,40,0.08,-,-,9,0.02,67614,13.75
Hokkaido,3772,16.76,80,0.58,364,2.62,1248,8.98,528,3.8,17,0.12,2,0.01,-,-,13,0.09,-,-,3,0.02,1,0.03,2,0.07,-,-,-,-,1,0.04,-,-,3,0.13,3363,14.95
Aomori,646,11.14,-,-,58,1.57,172,4.65,182,4.92,2,0.05,3,0.08,1,0.03,14,0.38,-,-,-,-,-,-,5,0.5,-,-,-,-,5,0.83,-,-,-,-,625,10.78
Iwate,906,15.1,-,-,56,1.47,117,3.08,347,9.13,5,0.13,5,0.13,2,0.05,19,0.5,-,-,2,0.05,-,-,5,0.36,-,-,-,-,2,0.11,-,-,-,-,1084,18.07
Miyagi,2329,25.59,6,0.11,74,1.35,203,3.69,298,5.42,5,0.09,3,0.05,-,-,14,0.25,-,-,3,0.05,-,-,2,0.17,-,-,1,0.1,-,-,-,-,-,-,1731,19.02
Akita,336,6.72,1,0.03,26,0.81,72,2.25,87,2.72,4,0.13,7,0.22,-,-,2,0.06,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,555,11.1
Yamagata,768,17.86,2,0.07,71,2.54,267,9.54,170,6.07,8,0.29,31,1.11,1,0.04,6,0.21,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,674,15.67
Fukushima,668,8.15,21,0.43,102,2.08,227,4.63,288,5.88,13,0.27,4,0.08,1,0.02,18,0.37,-,-,-,-,-,-,12,0.92,-,-,-,-,-,-,-,-,-,-,1573,19.18
Ibaraki,1637,13.64,7,0.09,56,0.75,476,6.35,477,6.36,6,0.08,2,0.03,-,-,6,0.08,2,0.03,2,0.03,-,-,15,0.88,-,-,1,0.08,1,0.08,-,-,-,-,2364,19.7
