"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2024",,,,,,"Data collected as of February 21, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,639995,129.92,2204,0.7,26730,8.55,81805,26.15,136066,43.5,3011,0.96,3832,1.23,381,0.12,4094,1.31,526,0.17,575,0.18,49,0.07,3014,4.35,41,0.09,60,0.13,242,0.5,4,0.01,43,0.09,409655,83.16
Hokkaido,17868,79.77,517,3.75,2940,21.3,6533,47.34,2767,20.05,157,1.14,25,0.18,2,0.01,93,0.67,6,0.04,18,0.13,1,0.03,52,1.79,1,0.04,1,0.04,2,0.09,-,-,5,0.22,19348,86.38
Aomori,3859,66.53,6,0.16,308,8.32,763,20.62,1349,36.46,26,0.7,26,0.7,3,0.08,61,1.65,3,0.08,4,0.11,-,-,33,3.3,-,-,-,-,18,3,-,-,-,-,3441,59.33
Iwate,5267,87.78,27,0.71,420,11.05,638,16.79,1901,50.03,46,1.21,61,1.61,2,0.05,88,2.32,10,0.26,15,0.39,-,-,39,2.79,1,0.05,1,0.05,14,0.74,-,-,1,0.05,5618,93.63
Miyagi,12298,135.14,36,0.65,677,12.31,1380,25.09,1910,34.73,55,1,21,0.38,5,0.09,99,1.8,3,0.05,12,0.22,-,-,12,1,1,0.1,2,0.2,-,-,-,-,-,-,8888,97.67
Akita,3828,76.56,5,0.16,124,3.88,336,10.5,574,17.94,32,1,47,1.47,-,-,29,0.91,4,0.13,-,-,1,0.14,13,1.86,-,-,-,-,1,0.13,-,-,-,-,3138,62.76
Yamagata,4340,100.93,10,0.36,533,19.04,1511,53.96,957,34.18,33,1.18,92,3.29,9,0.32,64,2.29,6,0.21,4,0.14,-,-,12,1.5,-,-,-,-,-,-,-,-,2,0.2,3502,81.44
Fukushima,6885,83.96,108,2.2,657,13.41,1371,27.98,1477,30.14,60,1.22,14,0.29,8,0.16,90,1.84,-,-,4,0.08,2,0.15,67,5.15,-,-,-,-,1,0.14,-,-,1,0.14,10119,123.4
Ibaraki,13672,113.93,30,0.4,416,5.55,2630,35.07,3087,41.16,38,0.51,16,0.21,6,0.08,35,0.47,18,0.24,11,0.15,-,-,123,7.24,1,0.08,3,0.23,9,0.69,-,-,-,-,14814,123.45
Tochigi,7136,93.89,59,1.23,261,5.44,941,19.6,1294,26.96,18,0.38,49,1.02,2,0.04,68,1.42,2,0.04,8,0.17,1,0.08,60,5,2,0.29,-,-,-,-,-,-,-,-,8085,106.38
Gunma,8343,98.15,21,0.4,332,6.26,1515,28.58,2373,44.77,38,0.72,119,2.25,5,0.09,83,1.57,7,0.13,14,0.26,1,0.07,44,3.14,1,0.11,-,-,1,0.11,-,-,1,0.11,8814,103.69
Saitama,41536,160.37,91,0.56,1401,8.6,5052,30.99,8929,54.78,221,1.36,81,0.5,20,0.12,208,1.28,14,0.09,56,0.34,6,0.15,138,3.37,1,0.08,1,0.08,4,0.33,-,-,-,-,24240,93.59
Chiba,32584,161.31,115,0.92,870,6.96,4092,32.74,6166,49.33,110,0.88,30,0.24,7,0.06,152,1.22,6,0.05,27,0.22,2,0.06,143,4.21,3,0.33,4,0.44,4,0.44,-,-,-,-,21524,106.55
Tokyo,48535,117.52,88,0.34,1088,4.18,6285,24.17,14769,56.8,276,1.06,144,0.55,134,0.52,370,1.42,17,0.07,77,0.3,2,0.05,116,2.97,4,0.16,2,0.08,14,0.56,1,0.04,-,-,23285,56.38
Kanagawa,49559,136.53,46,0.2,1094,4.82,4241,18.68,10204,44.95,306,1.35,89,0.39,53,0.23,243,1.07,33,0.15,44,0.19,2,0.04,367,7.49,-,-,5,0.42,8,0.67,-,-,-,-,23828,65.64
