"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35th week, 2024",,,,,,"Data collected as of September 4, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1874,0.38,2039,0.65,823,0.26,5501,1.75,8241,2.63,385,0.12,17872,5.7,500,0.16,924,0.29,2561,0.82,112,0.04,13,0.02,329,0.47,15,0.03,16,0.03,569,1.18,2,0,3,0.01,36891,7.46
Hokkaido,45,0.2,104,0.76,27,0.2,304,2.24,131,0.96,10,0.07,1145,8.42,1,0.01,25,0.18,374,2.75,2,0.01,-,-,1,0.03,-,-,-,-,22,0.96,-,-,-,-,2139,9.64
Aomori,-,-,58,1.57,4,0.11,32,0.86,48,1.3,3,0.08,265,7.16,19,0.51,14,0.38,44,1.19,2,0.05,-,-,1,0.1,-,-,-,-,4,0.67,-,-,-,-,843,14.53
Iwate,11,0.17,92,2.3,27,0.68,83,2.08,146,3.65,3,0.08,343,8.58,9,0.23,15,0.38,47,1.18,3,0.08,-,-,3,0.21,1,0.05,2,0.11,12,0.63,-,-,-,-,973,15.44
Miyagi,72,0.79,69,1.25,33,0.6,127,2.31,124,2.25,9,0.16,459,8.35,-,-,12,0.22,77,1.4,4,0.07,-,-,7,0.58,-,-,-,-,7,0.7,-,-,-,-,1080,11.87
Akita,4,0.08,22,0.67,8,0.24,18,0.55,45,1.36,6,0.18,174,5.27,-,-,6,0.18,23,0.7,1,0.03,-,-,2,0.29,-,-,-,-,1,0.13,-,-,-,-,645,12.65
Yamagata,1,0.02,100,3.57,15,0.54,60,2.14,82,2.93,1,0.04,262,9.36,-,-,12,0.43,74,2.64,1,0.04,-,-,1,0.13,-,-,-,-,6,0.6,-,-,-,-,581,13.51
Fukushima,3,0.04,78,1.59,13,0.27,66,1.35,107,2.18,6,0.12,188,3.84,1,0.02,14,0.29,32,0.65,4,0.08,-,-,1,0.08,-,-,-,-,9,1.29,-,-,-,-,1110,13.54
Ibaraki,19,0.16,32,0.43,12,0.16,267,3.56,173,2.31,6,0.08,188,2.51,2,0.03,14,0.19,28,0.37,1,0.01,-,-,28,1.65,2,0.15,-,-,24,1.85,-,-,-,-,1265,10.54
Tochigi,3,0.04,31,0.66,5,0.11,62,1.32,69,1.47,7,0.15,167,3.55,4,0.09,16,0.34,26,0.55,2,0.04,-,-,6,0.5,-,-,-,-,6,0.86,-,-,-,-,768,10.24
Gunma,11,0.13,5,0.09,27,0.51,72,1.36,202,3.81,9,0.17,185,3.49,6,0.11,15,0.28,51,0.96,1,0.02,-,-,5,0.36,1,0.11,-,-,6,0.67,-,-,-,-,670,7.88
Saitama,149,0.58,48,0.3,53,0.33,367,2.27,474,2.93,23,0.14,924,5.7,45,0.28,53,0.33,108,0.67,8,0.05,3,0.07,33,0.8,-,-,-,-,14,1.17,1,0.08,-,-,1921,7.42
Chiba,60,0.3,24,0.19,52,0.41,262,2.08,375,2.98,19,0.15,562,4.46,39,0.31,39,0.31,101,0.8,8,0.06,-,-,20,0.57,-,-,2,0.22,11,1.22,-,-,-,-,1810,8.92
Tokyo,130,0.31,68,0.26,56,0.21,344,1.31,730,2.78,19,0.07,1589,6.04,175,0.67,93,0.35,194,0.74,12,0.05,-,-,14,0.37,1,0.04,2,0.08,52,2.08,1,0.04,1,0.04,1987,4.78
Kanagawa,132,0.36,75,0.32,29,0.13,309,1.33,585,2.52,38,0.16,1495,6.44,150,0.65,70,0.3,190,0.82,8,0.03,1,0.02,54,1.06,-,-,1,0.08,13,1.08,-,-,-,-,2115,5.73
Niigata,40,0.46,105,1.91,32,0.58,161,2.93,123,2.24,4,0.07,252,4.58,1,0.02,10,0.18,39,0.71,-,-,3,0.3,3,0.3,-,-,-,-,8,0.62,-,-,-,-,1047,12.03
Toyama,5,0.1,18,0.62,7,0.24,57,1.97,98,3.38,3,0.1,287,9.9,1,0.03,7,0.24,26,0.9,1,0.03,1,0.14,3,0.43,-,-,-,-,2,0.4,-,-,-,-,425,8.85
Ishikawa,-,-,26,0.9,2,0.07,34,1.17,132,4.55,8,0.28,224,7.72,-,-,6,0.21,28,0.97,-,-,-,-,6,0.86,-,-,-,-,5,1,-,-,-,-,431,8.98
Fukui,9,0.23,28,1.12,3,0.12,35,1.4,132,5.28,2,0.08,198,7.92,1,0.04,8,0.32,10,0.4,-,-,-,-,-,-,-,-,-,-,11,1.83,-,-,-,-,238,6.1
Yamanashi,14,0.34,11,0.46,9,0.38,19,0.79,49,2.04,3,0.13,83,3.46,-,-,3,0.13,11,0.46,-,-,1,0.11,8,0.89,-,-,-,-,3,0.3,-,-,-,-,417,10.17
Nagano,4,0.05,38,0.7,33,0.61,47,0.87,103,1.91,6,0.11,347,6.43,6,0.11,13,0.24,39,0.72,1,0.02,-,-,13,1.3,-,-,1,0.08,7,0.58,-,-,-,-,948,10.77
Gifu,32,0.37,15,0.28,6,0.11,48,0.91,75,1.42,13,0.25,312,5.89,-,-,14,0.26,16,0.3,2,0.04,-,-,15,1.36,-,-,-,-,11,2.2,-,-,-,-,821,9.44
Shizuoka,43,0.31,26,0.29,30,0.34,49,0.55,156,1.75,6,0.07,726,8.16,1,0.01,27,0.3,72,0.81,2,0.02,-,-,5,0.23,-,-,-,-,11,1.1,-,-,-,-,1288,9.27
Aichi,80,0.41,33,0.18,18,0.1,241,1.32,368,2.02,24,0.13,1352,7.43,1,0.01,37,0.2,28,0.15,5,0.03,2,0.06,8,0.23,-,-,1,0.07,40,2.67,-,-,1,0.07,1615,8.28
Mie,13,0.18,20,0.44,18,0.4,111,2.47,129,2.87,4,0.09,154,3.42,-,-,18,0.4,10,0.22,1,0.02,-,-,-,-,-,-,-,-,6,0.67,-,-,-,-,513,7.13
Shiga,8,0.13,18,0.5,6,0.17,45,1.25,60,1.67,5,0.14,346,9.61,9,0.25,12,0.33,9,0.25,-,-,-,-,2,0.22,1,0.14,-,-,9,1.29,-,-,-,-,375,6.25
Kyoto,34,0.27,33,0.44,17,0.23,97,1.29,115,1.53,14,0.19,411,5.48,2,0.03,8,0.11,20,0.27,1,0.01,-,-,5,0.29,-,-,-,-,10,1.43,-,-,-,-,785,6.33
Osaka,99,0.32,134,0.68,39,0.2,309,1.57,567,2.88,24,0.12,757,3.84,5,0.03,45,0.23,94,0.48,10,0.05,1,0.02,11,0.21,-,-,1,0.06,48,2.67,-,-,-,-,1368,4.47
Hyogo,28,0.14,98,0.77,49,0.38,189,1.48,430,3.36,19,0.15,733,5.73,6,0.05,33,0.26,48,0.38,3,0.02,-,-,16,0.46,-,-,1,0.07,35,2.5,-,-,-,-,1060,5.35
Nara,21,0.38,10,0.29,3,0.09,45,1.32,95,2.79,15,0.44,199,5.85,-,-,13,0.38,6,0.18,-,-,-,-,5,0.5,-,-,-,-,6,1,-,-,-,-,383,6.96
Wakayama,4,0.08,16,0.53,3,0.1,23,0.77,62,2.07,4,0.13,170,5.67,-,-,6,0.2,16,0.53,-,-,-,-,1,0.25,-,-,1,0.09,11,1,-,-,-,-,306,6.24
Tottori,16,0.55,34,1.79,8,0.42,120,6.32,61,3.21,2,0.11,102,5.37,1,0.05,7,0.37,14,0.74,-,-,-,-,1,0.2,-,-,1,0.2,-,-,-,-,-,-,208,7.17
Shimane,4,0.11,27,1.17,2,0.09,20,0.87,79,3.43,-,-,116,5.04,-,-,12,0.52,2,0.09,1,0.04,-,-,-,-,-,-,-,-,2,0.25,-,-,-,-,320,8.42
Okayama,8,0.1,19,0.35,12,0.22,45,0.83,136,2.52,5,0.09,135,2.5,4,0.07,11,0.2,23,0.43,3,0.06,-,-,2,0.17,1,0.2,-,-,1,0.2,-,-,-,-,604,7.19
Hiroshima,12,0.1,52,0.71,18,0.25,101,1.38,202,2.77,3,0.04,350,4.79,2,0.03,23,0.32,22,0.3,2,0.03,-,-,6,0.32,-,-,-,-,38,1.81,-,-,1,0.05,779,6.72
Yamaguchi,27,0.4,34,0.79,-,-,117,2.72,82,1.91,2,0.05,340,7.91,-,-,14,0.33,65,1.51,-,-,-,-,1,0.11,-,-,-,-,3,0.33,-,-,-,-,455,6.79
Tokushima,2,0.05,11,0.48,4,0.17,22,0.96,78,3.39,-,-,26,1.13,-,-,8,0.35,7,0.3,-,-,1,0.25,-,-,-,-,-,-,1,0.14,-,-,-,-,322,8.7
Kagawa,11,0.23,14,0.5,4,0.14,43,1.54,90,3.21,7,0.25,192,6.86,-,-,11,0.39,24,0.86,-,-,-,-,-,-,1,0.2,-,-,6,1.2,-,-,-,-,323,6.87
Ehime,26,0.43,53,1.43,5,0.14,106,2.86,153,4.14,5,0.14,260,7.03,-,-,16,0.43,23,0.62,1,0.03,-,-,5,0.63,2,0.33,-,-,4,0.67,-,-,-,-,406,6.66
