"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2025",,,,,,"Data collected as of May 28, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2035,0.53,746,0.32,1343,0.57,6700,2.84,16422,6.96,1397,0.59,421,0.18,4656,1.97,934,0.4,197,0.08,215,0.09,36,0.05,550,0.79,8,0.02,14,0.03,181,0.38,3,0.01,90,0.19,3229,0.84
Hokkaido,65,0.39,45,0.44,63,0.62,409,4.01,511,5.01,80,0.78,16,0.16,419,4.11,20,0.2,1,0.01,6,0.06,-,-,7,0.25,-,-,-,-,11,0.48,-,-,-,-,144,0.86
Aomori,52,1,10,0.29,6,0.18,29,0.85,117,3.44,33,0.97,1,0.03,40,1.18,14,0.41,-,-,2,0.06,-,-,3,0.3,-,-,-,-,10,1.67,-,-,-,-,30,0.58
Iwate,101,2.4,8,0.3,19,0.7,63,2.33,175,6.48,21,0.78,1,0.04,41,1.52,21,0.78,-,-,3,0.11,-,-,5,0.36,-,-,-,-,4,0.21,-,-,1,0.05,28,0.67
Miyagi,21,0.39,22,0.73,23,0.77,86,2.87,148,4.93,13,0.43,3,0.1,86,2.87,13,0.43,-,-,4,0.13,1,0.08,4,0.33,-,-,-,-,1,0.1,-,-,-,-,63,1.17
Akita,13,0.52,1,0.08,5,0.38,28,2.15,62,4.77,7,0.54,1,0.08,19,1.46,3,0.23,-,-,2,0.15,2,0.29,3,0.43,-,-,-,-,12,1.5,-,-,-,-,16,0.64
Yamagata,28,0.72,19,0.73,13,0.5,60,2.31,130,5,31,1.19,5,0.19,124,4.77,12,0.46,1,0.04,-,-,-,-,-,-,-,-,-,-,2,0.2,-,-,1,0.1,33,0.85
Fukushima,33,0.69,12,0.43,11,0.39,47,1.68,137,4.89,34,1.21,10,0.36,97,3.46,7,0.25,-,-,5,0.18,-,-,21,1.62,-,-,-,-,1,0.14,-,-,-,-,25,0.52
Ibaraki,21,0.31,14,0.37,15,0.39,207,5.45,201,5.29,19,0.5,7,0.18,119,3.13,14,0.37,3,0.08,5,0.13,-,-,46,2.71,-,-,-,-,6,0.46,-,-,-,-,85,1.25
Tochigi,3,0.06,3,0.11,8,0.3,138,5.11,132,4.89,5,0.19,5,0.19,167,6.19,15,0.56,-,-,3,0.11,-,-,7,0.58,-,-,-,-,1,0.14,-,-,-,-,38,0.81
Gunma,5,0.11,-,-,13,0.52,65,2.6,216,8.64,15,0.6,4,0.16,158,6.32,16,0.64,1,0.04,5,0.2,-,-,22,1.57,-,-,-,-,7,0.78,-,-,1,0.11,32,0.71
Saitama,60,0.34,38,0.34,67,0.6,493,4.44,771,6.95,195,1.76,15,0.14,296,2.67,50,0.45,2,0.02,16,0.14,5,0.12,20,0.47,-,-,-,-,1,0.08,-,-,1,0.08,193,1.1
Chiba,82,0.45,36,0.31,45,0.38,358,3.03,509,4.31,41,0.35,20,0.17,177,1.5,27,0.23,5,0.04,12,0.1,-,-,39,1.11,-,-,-,-,1,0.11,-,-,-,-,172,0.93
Tokyo,132,0.32,28,0.11,100,0.38,995,3.77,2027,7.68,198,0.75,40,0.15,297,1.13,95,0.36,17,0.06,23,0.09,1,0.03,14,0.36,1,0.04,1,0.04,5,0.2,2,0.08,4,0.16,272,0.65
Kanagawa,75,0.31,55,0.39,50,0.35,509,3.61,825,5.85,199,1.41,23,0.16,216,1.53,51,0.36,6,0.04,16,0.11,-,-,67,1.37,1,0.09,-,-,5,0.45,-,-,1,0.09,198,0.83
Niigata,25,0.45,28,0.93,16,0.53,78,2.6,114,3.8,17,0.57,3,0.1,84,2.8,11,0.37,2,0.07,2,0.07,-,-,6,0.6,-,-,-,-,8,0.62,-,-,-,-,69,1.25
Toyama,15,0.32,12,0.41,13,0.45,137,4.72,190,6.55,44,1.52,1,0.03,95,3.28,15,0.52,-,-,1,0.03,6,0.86,-,-,-,-,-,-,3,0.6,-,-,-,-,26,0.55
Ishikawa,9,0.19,11,0.38,10,0.34,54,1.86,298,10.28,9,0.31,2,0.07,118,4.07,5,0.17,7,0.24,2,0.07,4,0.57,15,2.14,-,-,-,-,1,0.2,-,-,-,-,52,1.08
Fukui,11,0.28,19,0.76,26,1.04,42,1.68,214,8.56,4,0.16,1,0.04,56,2.24,3,0.12,2,0.08,2,0.08,-,-,1,0.33,-,-,-,-,10,1.67,-,-,3,0.5,21,0.54
Yamanashi,29,0.83,-,-,1,0.05,19,0.9,84,4,5,0.24,-,-,29,1.38,2,0.1,-,-,1,0.05,-,-,12,1.33,-,-,-,-,-,-,-,-,-,-,32,0.91
Nagano,46,0.57,7,0.14,14,0.27,116,2.27,348,6.82,34,0.67,-,-,208,4.08,14,0.27,1,0.02,3,0.06,-,-,16,1.6,-,-,1,0.08,-,-,-,-,2,0.17,111,1.37
Gifu,13,0.29,5,0.19,11,0.41,44,1.63,332,12.3,10,0.37,1,0.04,21,0.78,14,0.52,-,-,4,0.15,-,-,1,0.09,-,-,-,-,1,0.2,-,-,1,0.2,44,0.98
Shizuoka,39,0.28,17,0.19,34,0.38,135,1.52,431,4.84,25,0.28,15,0.17,273,3.07,29,0.33,2,0.02,4,0.04,-,-,11,0.5,-,-,1,0.1,4,0.4,-,-,-,-,129,0.93
Aichi,38,0.23,20,0.2,46,0.46,199,1.97,635,6.29,35,0.35,15,0.15,104,1.03,42,0.42,1,0.01,6,0.06,-,-,16,0.46,-,-,2,0.13,6,0.4,-,-,4,0.27,170,1.04
Mie,47,0.67,14,0.32,22,0.5,108,2.45,223,5.07,5,0.11,14,0.32,148,3.36,12,0.27,3,0.07,3,0.07,-,-,2,0.17,-,-,1,0.11,9,1,-,-,1,0.11,61,0.87
Shiga,18,0.31,8,0.23,10,0.29,75,2.14,239,6.83,15,0.43,1,0.03,55,1.57,11,0.31,3,0.09,2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14,28,0.48
Kyoto,47,0.7,7,0.18,47,1.18,145,3.63,355,8.88,29,0.73,8,0.2,76,1.9,20,0.5,5,0.13,1,0.03,1,0.06,3,0.17,-,-,1,0.14,2,0.29,1,0.14,2,0.29,105,1.57
Osaka,94,0.32,37,0.2,174,0.94,311,1.67,1447,7.78,49,0.26,38,0.2,318,1.71,58,0.31,15,0.08,14,0.08,2,0.04,18,0.35,1,0.06,2,0.11,3,0.17,-,-,3,0.17,212,0.73
Hyogo,138,0.85,24,0.23,100,0.95,196,1.87,923,8.79,34,0.32,11,0.1,155,1.48,48,0.46,12,0.11,12,0.11,2,0.06,32,0.91,-,-,-,-,3,0.21,-,-,-,-,116,0.71
Nara,13,0.32,9,0.38,14,0.58,27,1.13,246,10.25,11,0.46,26,1.08,30,1.25,9,0.38,3,0.13,1,0.04,3,0.3,3,0.3,-,-,-,-,2,0.33,-,-,4,0.67,30,0.73
Wakayama,10,0.22,4,0.15,6,0.22,44,1.63,194,7.19,10,0.37,-,-,50,1.85,17,0.63,1,0.04,4,0.15,-,-,-,-,-,-,-,-,2,0.18,-,-,3,0.27,26,0.58
Tottori,19,0.66,5,0.26,8,0.42,88,4.63,133,7,9,0.47,8,0.42,17,0.89,1,0.05,2,0.11,-,-,-,-,3,0.6,1,0.2,-,-,5,1,-,-,-,-,21,0.72
Shimane,7,0.35,3,0.27,25,2.27,13,1.18,129,11.73,7,0.64,1,0.09,41,3.73,5,0.45,4,0.36,2,0.18,-,-,-,-,2,0.25,-,-,3,0.38,-,-,5,0.63,14,0.7
Okayama,30,0.6,7,0.25,15,0.54,52,1.86,258,9.21,5,0.18,5,0.18,26,0.93,21,0.75,9,0.32,5,0.18,1,0.08,4,0.33,-,-,-,-,3,0.6,-,-,4,0.8,41,0.82
Hiroshima,32,0.34,14,0.25,27,0.47,182,3.19,396,6.95,10,0.18,9,0.16,88,1.54,16,0.28,-,-,4,0.07,1,0.05,17,0.89,-,-,-,-,9,0.45,-,-,8,0.4,51,0.55
Yamaguchi,91,1.44,31,0.78,16,0.4,147,3.68,255,6.38,4,0.1,4,0.1,14,0.35,21,0.53,5,0.13,1,0.03,-,-,5,0.56,-,-,-,-,2,0.22,-,-,-,-,59,0.94
Tokushima,11,0.32,6,0.29,15,0.71,12,0.57,135,6.43,9,0.43,-,-,3,0.14,5,0.24,-,-,-,-,-,-,-,-,-,-,2,0.29,1,0.14,-,-,-,-,24,0.71
