"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2025",,,,,,"Data collected as of July 9, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1095,0.28,821,0.35,1580,0.67,5565,2.36,12819,5.44,934,0.4,1215,0.52,5474,2.32,880,0.37,3451,1.46,179,0.08,16,0.02,629,0.9,9,0.02,32,0.07,360,0.75,3,0.01,16,0.03,7615,1.97
Hokkaido,5,0.03,24,0.24,109,1.07,296,2.9,253,2.48,42,0.41,69,0.68,398,3.9,18,0.18,39,0.38,8,0.08,-,-,4,0.14,-,-,-,-,12,0.52,-,-,3,0.13,100,0.6
Aomori,1,0.02,3,0.09,6,0.18,24,0.71,106,3.12,20,0.59,3,0.09,26,0.76,14,0.41,1,0.03,4,0.12,-,-,1,0.1,-,-,-,-,4,0.67,-,-,-,-,35,0.67
Iwate,9,0.22,8,0.3,20,0.74,40,1.48,163,6.04,4,0.15,21,0.78,64,2.37,6,0.22,3,0.11,2,0.07,-,-,3,0.21,-,-,1,0.05,1,0.05,-,-,-,-,33,0.8
Miyagi,26,0.48,30,1,18,0.6,97,3.23,157,5.23,8,0.27,10,0.33,90,3,15,0.5,15,0.5,5,0.17,-,-,5,0.42,-,-,-,-,12,1.2,-,-,-,-,67,1.24
Akita,-,-,-,-,2,0.15,15,1.15,43,3.31,7,0.54,1,0.08,54,4.15,5,0.38,3,0.23,-,-,-,-,1,0.14,-,-,-,-,42,5.25,-,-,-,-,23,0.92
Yamagata,1,0.03,34,1.31,16,0.62,64,2.46,141,5.42,5,0.19,16,0.62,153,5.88,16,0.62,17,0.65,1,0.04,-,-,1,0.13,-,-,-,-,9,0.9,-,-,-,-,28,0.72
Fukushima,5,0.1,36,1.29,17,0.61,70,2.5,184,6.57,16,0.57,10,0.36,109,3.89,8,0.29,5,0.18,4,0.14,-,-,9,0.69,-,-,-,-,1,0.14,-,-,-,-,51,1.06
Ibaraki,31,0.46,11,0.29,17,0.45,137,3.61,196,5.16,7,0.18,5,0.13,124,3.26,9,0.24,13,0.34,3,0.08,-,-,61,3.59,-,-,1,0.08,10,0.77,-,-,-,-,209,3.07
Tochigi,18,0.38,9,0.33,13,0.48,136,5.04,109,4.04,2,0.07,5,0.19,132,4.89,21,0.78,37,1.37,1,0.04,-,-,19,1.58,-,-,1,0.14,6,0.86,-,-,-,-,95,2.02
Gunma,-,-,8,0.32,23,0.92,62,2.48,174,6.96,3,0.12,7,0.28,139,5.56,19,0.76,9,0.36,4,0.16,-,-,26,1.86,-,-,1,0.11,14,1.56,-,-,-,-,47,1.04
Saitama,56,0.32,66,0.59,107,0.96,517,4.66,689,6.21,93,0.84,50,0.45,207,1.86,44,0.4,62,0.56,11,0.1,1,0.02,25,0.58,-,-,1,0.08,8,0.67,1,0.08,-,-,442,2.51
Chiba,30,0.16,22,0.19,62,0.53,420,3.56,576,4.88,47,0.4,27,0.23,142,1.2,21,0.18,57,0.48,9,0.08,2,0.06,67,1.91,-,-,-,-,1,0.11,-,-,-,-,579,3.11
Tokyo,104,0.25,55,0.21,136,0.52,741,2.82,1583,6.02,175,0.67,131,0.5,163,0.62,95,0.36,208,0.79,18,0.07,-,-,28,0.74,-,-,1,0.04,11,0.44,1,0.04,-,-,690,1.65
Kanagawa,75,0.32,48,0.34,95,0.67,365,2.59,699,4.96,123,0.87,51,0.36,179,1.27,50,0.35,63,0.45,20,0.14,-,-,77,1.48,1,0.08,1,0.08,4,0.33,-,-,1,0.08,576,2.42
Niigata,47,0.85,8,0.27,12,0.4,58,1.93,88,2.93,15,0.5,7,0.23,97,3.23,11,0.37,12,0.4,2,0.07,-,-,5,0.5,-,-,1,0.08,4,0.31,-,-,-,-,116,2.11
Toyama,2,0.04,2,0.07,18,0.62,104,3.59,191,6.59,21,0.72,5,0.17,113,3.9,8,0.28,3,0.1,2,0.07,-,-,2,0.29,-,-,-,-,4,0.8,-,-,-,-,49,1.02
Ishikawa,3,0.06,4,0.14,15,0.54,52,1.86,189,6.75,7,0.25,4,0.14,141,5.04,16,0.57,6,0.21,-,-,2,0.29,18,2.57,-,-,-,-,3,0.6,-,-,-,-,54,1.15
Fukui,-,-,3,0.12,19,0.76,56,2.24,183,7.32,2,0.08,6,0.24,57,2.28,8,0.32,25,1,1,0.04,-,-,1,0.33,-,-,-,-,10,1.67,-,-,-,-,31,0.79
Yamanashi,3,0.09,-,-,7,0.33,12,0.57,90,4.29,5,0.24,2,0.1,52,2.48,8,0.38,5,0.24,1,0.05,-,-,9,1,1,0.1,-,-,-,-,-,-,-,-,114,3.26
Nagano,12,0.15,4,0.08,19,0.37,74,1.45,242,4.75,21,0.41,7,0.14,249,4.88,20,0.39,18,0.35,2,0.04,-,-,14,1.4,1,0.08,-,-,2,0.17,-,-,2,0.17,86,1.06
Gifu,2,0.04,8,0.3,14,0.52,51,1.89,246,9.11,5,0.19,14,0.52,63,2.33,10,0.37,16,0.59,1,0.04,-,-,1,0.09,-,-,1,0.2,5,1,-,-,1,0.2,79,1.76
Shizuoka,35,0.25,20,0.22,52,0.58,120,1.35,429,4.82,8,0.09,24,0.27,264,2.97,25,0.28,21,0.24,5,0.06,-,-,15,0.68,-,-,-,-,3,0.3,-,-,-,-,244,1.76
Aichi,12,0.07,22,0.22,65,0.64,158,1.56,580,5.74,26,0.26,37,0.37,225,2.23,48,0.48,73,0.72,6,0.06,1,0.03,24,0.69,1,0.07,1,0.07,19,1.27,-,-,1,0.07,382,2.34
Mie,7,0.1,17,0.39,47,1.07,96,2.18,217,4.93,5,0.11,20,0.45,196,4.45,14,0.32,58,1.32,3,0.07,2,0.17,1,0.08,-,-,-,-,7,0.78,-,-,-,-,88,1.26
Shiga,14,0.24,4,0.11,17,0.49,62,1.77,196,5.6,8,0.23,20,0.57,99,2.83,8,0.23,48,1.37,2,0.06,-,-,2,0.22,1,0.14,1,0.14,2,0.29,-,-,-,-,81,1.4
Kyoto,16,0.24,6,0.15,44,1.1,109,2.73,204,5.1,22,0.55,29,0.73,79,1.98,9,0.23,58,1.45,4,0.1,-,-,7,0.39,-,-,-,-,5,0.71,-,-,-,-,120,1.79
Osaka,73,0.25,60,0.32,141,0.76,278,1.49,1001,5.38,44,0.24,219,1.18,509,2.74,58,0.31,258,1.39,15,0.08,-,-,16,0.31,-,-,4,0.22,3,0.17,-,-,4,0.22,557,1.91
Hyogo,70,0.43,31,0.29,97,0.92,159,1.5,666,6.28,36,0.34,88,0.83,276,2.6,49,0.46,291,2.75,8,0.08,1,0.03,29,0.83,-,-,4,0.29,2,0.14,1,0.07,1,0.07,292,1.78
Nara,4,0.1,9,0.38,16,0.67,32,1.33,182,7.58,9,0.38,39,1.63,72,3,10,0.42,37,1.54,-,-,-,-,8,0.8,1,0.17,2,0.33,6,1,-,-,-,-,100,2.44
Wakayama,5,0.11,3,0.11,7,0.26,26,0.96,152,5.63,11,0.41,23,0.85,102,3.78,14,0.52,32,1.19,1,0.04,-,-,2,0.5,-,-,2,0.18,2,0.18,-,-,-,-,70,1.56
Tottori,1,0.03,2,0.11,3,0.16,49,2.58,88,4.63,8,0.42,5,0.26,10,0.53,1,0.05,22,1.16,-,-,-,-,2,0.4,-,-,1,0.2,8,1.6,-,-,-,-,16,0.55
Shimane,-,-,1,0.09,18,1.64,9,0.82,67,6.09,6,0.55,6,0.55,42,3.82,14,1.27,42,3.82,-,-,-,-,-,-,-,-,-,-,2,0.25,-,-,1,0.13,23,1.15
Okayama,14,0.28,6,0.21,8,0.29,46,1.64,120,4.29,11,0.39,15,0.54,27,0.96,15,0.54,75,2.68,1,0.04,-,-,5,0.42,-,-,-,-,7,1.4,-,-,-,-,56,1.12
Hiroshima,11,0.12,4,0.07,49,0.86,132,2.32,263,4.61,7,0.12,30,0.53,138,2.42,17,0.3,91,1.6,3,0.05,-,-,19,1,-,-,-,-,24,1.2,-,-,-,-,92,0.98
Yamaguchi,32,0.51,12,0.3,5,0.13,107,2.68,196,4.9,6,0.15,23,0.58,31,0.78,19,0.48,286,7.15,3,0.08,-,-,7,0.78,-,-,3,0.33,6,0.67,-,-,-,-,62,0.98
Tokushima,3,0.09,5,0.24,5,0.24,6,0.29,113,5.38,4,0.19,8,0.38,7,0.33,4,0.19,9,0.43,1,0.05,1,0.25,-,-,-,-,-,-,11,1.57,-,-,-,-,55,1.62
Kagawa,3,0.08,5,0.19,13,0.5,30,1.15,128,4.92,5,0.19,20,0.77,31,1.19,9,0.35,96,3.69,1,0.04,-,-,-,-,-,-,-,-,5,1,-,-,-,-,35,0.88
Ehime,24,0.63,19,0.9,20,0.95,104,4.95,213,10.14,2,0.1,4,0.19,31,1.48,9,0.43,8,0.38,4,0.19,-,-,33,4.13,-,-,-,-,5,0.83,-,-,-,-,65,1.71
Kochi,8,0.21,7,0.35,4,0.2,36,1.8,66,3.3,1,0.05,19,0.95,22,1.1,7,0.35,115,5.75,-,-,-,-,-,-,1,0.13,-,-,3,0.38,-,-,-,-,77,2.03
Fukuoka,23,0.19,43,0.61,66,0.94,209,2.99,483,6.9,29,0.41,50,0.71,242,3.46,22,0.31,456,6.51,5,0.07,-,-,6,0.23,-,-,1,0.07,6,0.4,-,-,2,0.13,267,2.19
Saga,14,0.58,-,-,15,1.25,12,1,43,3.58,3,0.25,3,0.25,23,1.92,16,1.33,70,5.83,-,-,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,61,2.54
Nagasaki,19,0.37,23,0.74,22,0.71,99,3.19,103,3.32,16,0.52,12,0.39,44,1.42,15,0.48,157,5.06,1,0.03,5,0.63,22,2.75,1,0.08,2,0.17,11,0.92,-,-,-,-,114,2.24
Kumamoto,11,0.15,-,-,22,0.45,59,1.2,284,5.8,9,0.18,37,0.76,51,1.04,33,0.67,209,4.27,3,0.06,1,0.11,10,1.11,-,-,-,-,29,1.93,-,-,-,-,208,2.85
Oita,4,0.07,14,0.39,26,0.72,87,2.42,300,8.33,14,0.39,9,0.25,120,3.33,16,0.44,208,5.78,9,0.25,-,-,6,1.2,1,0.09,-,-,1,0.09,-,-,-,-,106,1.83
Miyazaki,9,0.32,3,0.2,10,0.67,50,3.33,126,8.4,1,0.07,9,0.6,30,2,4,0.27,37,2.47,3,0.2,-,-,3,0.5,-,-,-,-,2,0.29,-,-,-,-,55,1.96
Kagoshima,30,0.53,29,0.94,48,1.55,61,1.97,195,6.29,4,0.13,5,0.16,31,1,16,0.52,72,2.32,1,0.03,-,-,6,0.86,-,-,1,0.08,27,2.25,-,-,-,-,149,2.61
Okinawa,223,4.96,93,3.72,15,0.6,38,1.52,102,4.08,11,0.44,10,0.4,20,0.8,6,0.24,5,0.2,1,0.04,-,-,29,3.22,-,-,1,0.14,-,-,-,-,-,-,736,16.36
