"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2025",,,,,,"Data collected as of August 20, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,980,0.28,1358,0.63,534,0.25,2093,0.97,5296,2.46,430,0.2,752,0.35,2495,1.16,496,0.23,1645,0.77,83,0.04,11,0.02,420,0.67,5,0.01,30,0.06,558,1.16,-,-,2,0,22288,6.3
Hokkaido,21,0.14,53,0.61,22,0.25,127,1.46,160,1.84,12,0.14,189,2.17,140,1.61,14,0.16,107,1.23,-,-,-,-,7,0.28,-,-,2,0.09,38,1.65,-,-,-,-,577,3.82
Aomori,20,0.39,3,0.09,5,0.15,19,0.56,37,1.09,8,0.24,6,0.18,7,0.21,8,0.24,9,0.26,2,0.06,-,-,-,-,-,-,1,0.17,8,1.33,-,-,-,-,338,6.63
Iwate,10,0.24,27,1,2,0.07,14,0.52,23,0.85,6,0.22,10,0.37,22,0.81,7,0.26,7,0.26,-,-,-,-,2,0.14,-,-,-,-,12,0.63,-,-,-,-,284,6.93
Miyagi,11,0.2,39,1.26,5,0.16,16,0.52,47,1.52,4,0.13,3,0.1,44,1.42,9,0.29,18,0.58,-,-,-,-,-,-,-,-,-,-,18,1.8,-,-,-,-,213,3.87
Akita,8,0.33,7,0.58,-,-,10,0.83,16,1.33,1,0.08,2,0.17,20,1.67,3,0.25,5,0.42,-,-,2,0.5,2,0.5,-,-,-,-,63,7.88,-,-,-,-,257,10.71
Yamagata,15,0.47,43,2.26,4,0.21,11,0.58,43,2.26,1,0.05,9,0.47,63,3.32,7,0.37,8,0.42,-,-,-,-,-,-,-,-,-,-,15,1.5,-,-,-,-,209,6.53
Fukushima,13,0.27,30,1.07,7,0.25,21,0.75,45,1.61,9,0.32,13,0.46,23,0.82,5,0.18,9,0.32,2,0.07,-,-,2,0.17,-,-,-,-,6,0.86,-,-,-,-,373,7.77
Ibaraki,12,0.19,31,0.86,17,0.47,69,1.92,76,2.11,13,0.36,8,0.22,46,1.28,6,0.17,48,1.33,1,0.03,-,-,42,3,-,-,-,-,25,1.92,-,-,-,-,674,10.87
Tochigi,17,0.46,39,1.86,4,0.19,32,1.52,42,2,2,0.1,6,0.29,26,1.24,5,0.24,15,0.71,-,-,-,-,1,0.1,-,-,-,-,14,2,-,-,-,-,302,8.16
Gunma,6,0.18,12,0.63,5,0.26,14,0.74,62,3.26,3,0.16,7,0.37,30,1.58,4,0.21,10,0.53,1,0.05,-,-,15,1.25,-,-,-,-,32,3.56,-,-,-,-,187,5.67
Saitama,38,0.3,38,0.46,33,0.4,226,2.76,234,2.85,52,0.63,36,0.44,94,1.15,31,0.38,101,1.23,8,0.1,-,-,36,1.2,-,-,2,0.17,14,1.17,-,-,-,-,1475,11.52
Chiba,31,0.2,34,0.35,21,0.22,87,0.91,194,2.02,25,0.26,27,0.28,66,0.69,13,0.14,54,0.56,2,0.02,1,0.03,37,1.19,-,-,-,-,1,0.11,-,-,-,-,906,5.81
Tokyo,83,0.24,142,0.64,49,0.22,233,1.05,749,3.37,48,0.22,87,0.39,39,0.18,59,0.27,182,0.82,8,0.04,-,-,9,0.31,-,-,-,-,20,0.8,-,-,1,0.04,1263,3.61
