"Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,
"33rd week, 2025",,,,,,"Data collected as of August 20, 2025"
,,,,,,
Prefecture,Acute respiratory infection,,,,,
,Current week,per sentinel,,,,
Total No.,120683,34.14,,,,
Hokkaido,5235,34.44,,,,
Aomori,1677,33.54,,,,
Iwate,1575,38.41,,,,
Miyagi,1535,27.91,,,,
Akita,936,39,,,,
Yamagata,1236,38.63,,,,
Fukushima,2022,42.13,,,,
Ibaraki,3317,53.5,,,,
Tochigi,1932,52.22,,,,
Gunma,1668,50.55,,,,
Saitama,7936,62,,,,
Chiba,5339,34.01,,,,
Tokyo,12394,35.31,,,,
Kanagawa,8496,44.95,,,,
Niigata,1953,38.29,,,,
Toyama,1585,36.86,,,,
Ishikawa,1538,32.72,,,,
Fukui,942,24.15,,,,
Yamanashi,602,17.2,,,,
Nagano,2213,30.74,,,,
Gifu,1194,26.53,,,,
Shizuoka,4037,29.04,,,,
Aichi,5703,34.99,,,,
Mie,1877,30.27,,,,
Shiga,1714,32.96,,,,
Kyoto,1932,31.67,,,,
Osaka,5017,17.24,,,,
Hyogo,3027,20.45,,,,
Nara,776,22.82,,,,
Wakayama,1214,26.98,,,,
Tottori,1000,34.48,,,,
Shimane,979,48.95,,,,
Okayama,1775,35.5,,,,
Hiroshima,2054,24.75,,,,
Yamaguchi,1956,31.05,,,,
Tokushima,759,22.32,,,,
Kagawa,1499,37.48,,,,
Ehime,1629,44.03,,,,
Kochi,1391,36.61,,,,
Fukuoka,3679,30.16,,,,
Saga,745,31.04,,,,
Nagasaki,1684,33.02,,,,
Kumamoto,2456,34.59,,,,
Oita,2493,42.98,,,,
Miyazaki,1185,43.89,,,,
Kagoshima,2737,48.02,,,,
Okinawa,2040,45.33,,,,
