"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2025",,,,,,"Data collected as of December 3, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1348572,325.82,104680,40.92,44079,17.23,258885,101.21,733347,286.69,38298,14.97,28622,11.19,152450,59.6,33001,12.9,49415,19.32,6098,2.38,1005,1.45,28351,40.97,410,0.85,929,1.94,17998,37.5,129,0.27,1774,3.7,756646,182.81
Hokkaido,62597,343.94,4779,43.45,2387,21.7,16333,148.48,16567,150.61,2147,19.52,4858,44.16,10026,91.15,858,7.8,1734,15.76,204,1.85,6,0.21,265,9.46,4,0.17,25,1.09,1423,61.87,2,0.09,59,2.57,32049,176.09
Aomori,16047,302.77,559,16.44,455,13.38,1469,43.21,5458,160.53,868,25.53,319,9.38,1782,52.41,439,12.91,307,9.03,58,1.71,2,0.22,59,6.56,9,1.5,23,3.83,433,72.17,-,-,3,0.5,9311,175.68
Iwate,21148,449.96,810,27,556,18.53,3653,121.77,9669,322.3,401,13.37,530,17.67,2030,67.67,505,16.83,231,7.7,68,2.27,2,0.14,252,18,10,0.53,16,0.84,477,25.11,-,-,22,1.16,10296,219.06
Miyagi,29984,461.29,1401,37.86,669,18.08,4347,117.49,8949,241.86,562,15.19,265,7.16,3777,102.08,450,12.16,627,16.95,110,2.97,5,0.42,260,21.67,6,0.6,11,1.1,630,63,1,0.1,16,1.6,15023,231.12
Akita,10048,314,222,12.33,219,12.17,1317,73.17,2934,163,227,12.61,133,7.39,1057,58.72,158,8.78,246,13.67,16,0.89,36,6,101,16.83,2,0.25,1,0.13,1154,144.25,-,-,9,1.13,6054,189.19
Yamagata,15048,385.85,1501,60.04,487,19.48,2809,112.36,6288,251.52,458,18.32,380,15.2,4229,169.16,441,17.64,678,27.12,42,1.68,2,0.29,215,30.71,3,0.3,8,0.8,417,41.7,-,-,28,2.8,6609,169.46
Fukushima,25220,442.46,1625,49.24,633,19.18,3153,95.55,7106,215.33,635,19.24,350,10.61,3491,105.79,453,13.73,282,8.55,112,3.39,6,0.5,944,78.67,5,0.71,3,0.43,245,35,5,0.71,25,3.57,14166,248.53
Ibaraki,31876,388.73,1472,30.67,798,16.63,10034,209.04,13549,282.27,627,13.06,255,5.31,3052,63.58,445,9.27,624,13,77,1.6,8,0.5,2649,165.56,10,0.77,16,1.23,568,43.69,2,0.15,9,0.69,22030,268.66
Tochigi,21195,392.5,1487,46.47,339,10.59,4908,153.38,7318,228.69,313,9.78,246,7.69,3807,118.97,568,17.75,514,16.06,75,2.34,4,0.36,506,46,7,1,11,1.57,452,64.57,5,0.71,21,3,12364,228.96
Gunma,21511,391.11,1500,46.88,614,19.19,2203,68.84,12621,394.41,434,13.56,221,6.91,3044,95.13,592,18.5,526,16.44,115,3.59,1,0.08,824,63.38,4,0.44,9,1,877,97.44,3,0.33,49,5.44,10504,190.98
Saitama,89107,459.31,4754,38.97,2365,19.39,18393,150.76,39558,324.25,3756,30.79,1398,11.46,8368,68.59,1819,14.91,2248,18.43,450,3.69,246,6,1394,34,13,1.08,43,3.58,578,48.17,12,1,67,5.58,44675,230.28
Chiba,72749,386.96,2777,23.74,1502,12.84,16091,137.53,32104,274.39,1581,13.51,1296,11.08,6774,57.9,1264,10.8,1792,15.32,385,3.29,24,0.71,1884,55.41,15,1.67,16,1.78,108,12,4,0.44,6,0.67,38699,205.85
Tokyo,121610,293.74,6539,25.15,3113,11.97,30087,115.72,82890,318.81,5797,22.3,3004,11.55,8544,32.86,3470,13.35,5393,20.74,745,2.87,22,0.58,1110,29.21,24,0.96,45,1.8,509,20.36,34,1.36,107,4.28,45710,110.41
Kanagawa,93362,345.79,5298,32.7,1703,10.51,15082,93.1,44747,276.22,4213,26.01,1375,8.49,7075,43.67,2001,12.35,2234,13.79,503,3.1,30,0.6,2782,55.64,32,2.91,76,6.91,369,33.55,1,0.09,34,3.09,43222,160.08
