累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年05週(01月26日～02月01日),2026年02月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,294035,79.77,6891,3.08,2819,1.26,24535,10.97,73943,33.05,4192,1.87,538,0.24,2809,1.26,2394,1.07,170,0.08,280,0.13,30,0.05,1411,2.13,39,0.08,67,0.14,1095,2.28,23,0.05,66,0.14,32524,8.82
北海道,5293,32.47,655,6.75,123,1.27,1963,20.24,2002,20.64,291,3,22,0.23,130,1.34,50,0.52,2,0.02,3,0.03,-,-,18,0.67,1,0.04,2,0.09,73,3.17,-,-,-,-,4641,28.47
青森県,2524,50.48,72,2.18,24,0.73,209,6.33,617,18.7,52,1.58,4,0.12,8,0.24,39,1.18,2,0.06,3,0.09,-,-,1,0.11,1,0.17,1,0.17,17,2.83,-,-,-,-,708,14.16
岩手県,1900,45.24,99,3.67,14,0.52,361,13.37,890,32.96,115,4.26,2,0.07,102,3.78,44,1.63,-,-,2,0.07,-,-,18,1.29,-,-,2,0.11,27,1.42,-,-,-,-,835,19.88
宮城県,5550,100.91,90,2.9,25,0.81,377,12.16,737,23.77,48,1.55,3,0.1,45,1.45,29,0.94,-,-,2,0.06,1,0.08,21,1.75,-,-,-,-,23,2.3,-,-,-,-,977,17.76
秋田県,1222,50.92,45,3.75,10,0.83,91,7.58,307,25.58,49,4.08,1,0.08,20,1.67,12,1,3,0.25,1,0.08,2,0.4,10,2,-,-,-,-,44,5.5,-,-,-,-,389,16.21
山形県,2015,55.97,147,6.13,68,2.83,481,20.04,717,29.88,68,2.83,6,0.25,56,2.33,44,1.83,1,0.04,2,0.08,-,-,25,3.57,-,-,1,0.1,21,2.1,-,-,-,-,721,20.03
福島県,3528,73.5,137,4.89,25,0.89,254,9.07,733,26.18,82,2.93,-,-,9,0.32,48,1.71,1,0.04,6,0.21,1,0.08,54,4.15,-,-,1,0.14,13,1.86,2,0.29,2,0.29,1133,23.6
茨城県,6378,99.66,80,2.29,60,1.71,763,21.8,1595,45.57,79,2.26,7,0.2,6,0.17,35,1,3,0.09,3,0.09,-,-,100,6.25,1,0.08,2,0.15,46,3.54,-,-,1,0.08,1015,15.86
