"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2026",,,,,,"Data collected as of April 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1012399,269.47,19659,8.64,8460,3.72,84416,37.09,223416,98.16,11484,5.05,2050,0.9,5490,2.41,7068,3.11,559,0.25,851,0.37,96,0.14,3975,5.84,130,0.27,201,0.42,2166,4.51,74,0.15,391,0.81,85151,22.66
Hokkaido,36384,220.51,1456,14.71,353,3.57,8442,85.27,6402,64.67,933,9.42,51,0.52,289,2.92,184,1.86,16,0.16,19,0.19,-,-,42,1.5,1,0.04,4,0.17,125,5.43,7,0.3,10,0.43,9710,58.85
Aomori,11974,234.78,188,5.7,114,3.45,911,27.61,1611,48.82,150,4.55,8,0.24,20,0.61,93,2.82,5,0.15,5,0.15,1,0.11,3,0.33,3,0.5,1,0.17,73,12.17,-,-,-,-,2286,44.82
Iwate,11636,277.05,309,11.44,81,3,1412,52.3,2728,101.04,166,6.15,6,0.22,265,9.81,123,4.56,1,0.04,3,0.11,-,-,47,3.36,2,0.11,7,0.37,60,3.16,2,0.11,13,0.68,3043,72.45
Miyagi,16984,308.8,239,7.71,80,2.58,1049,33.84,2489,80.29,129,4.16,3,0.1,64,2.06,79,2.55,2,0.06,12,0.39,1,0.08,70,5.83,-,-,-,-,44,4.4,-,-,3,0.3,2544,46.25
Akita,4632,193,85,7.08,35,2.92,414,34.5,1152,96,127,10.58,4,0.33,32,2.67,31,2.58,3,0.25,8,0.67,3,0.5,39,6.5,-,-,-,-,61,7.63,-,-,-,-,1147,47.79
Yamagata,9174,241.42,451,18.04,143,5.72,1806,72.24,2607,104.28,235,9.4,12,0.48,79,3.16,118,4.72,2,0.08,4,0.16,-,-,77,11,3,0.3,2,0.2,40,4,-,-,1,0.1,1649,43.39
Fukushima,14203,295.9,356,12.71,81,2.89,727,25.96,2326,83.07,225,8.04,1,0.04,28,1,121,4.32,7,0.25,13,0.46,1,0.08,119,9.15,3,0.43,3,0.43,28,4,2,0.29,4,0.57,2310,48.13
Ibaraki,19475,295.08,196,5.44,104,2.89,2290,63.61,4215,117.08,160,4.44,16,0.44,27,0.75,91,2.53,10,0.28,12,0.33,-,-,264,16.5,1,0.08,4,0.31,87,6.69,-,-,8,0.62,2507,37.98
